9143 28391
3504 3313 -947
5232 3033 988
8044 767 826
1049 5868 -351
8524 2385 199
1857 3463 562
6240 8753 -951
6393 4292 16
2275 8245 -108
5168 8405 48
1451 7803 507
9072 8963 -995
813 24 -630
4428 2381 -630
198 4439 852
64 1431 473
155 2716 853
777 3050 480
615 8782 -736
941 739 509
4060 7964 -289
3439 8440 -602
7725 7055 490
2087 5159 750
1994 4135 -591
5344 6516 -925
5235 3574 185
5121 8885 -919
8965 7194 -153
8096 7759 -374
2533 3176 186
5206 4159 518
8667 7888 751
2560 834 293
5628 7269 -748
1067 8243 -166
2229 6351 173
8422 254 -797
5764 3353 -805
4759 864 -528
8182 8840 -768
5025 4477 -767
3663 5158 485
6422 7594 -927
5413 5433 -50
1621 295 -242
8466 3177 -552
7422 1437 -127
7160 8589 -630
5653 8561 -544
6937 2077 56
4610 7 -479
2970 6448 -961
993 6099 -522
3551 434 -566
4418 4413 -51
1816 6503 -176
2473 8969 532
2775 4145 -161
6144 1678 331
5724 4640 279
3463 365 131
2083 3535 -395
6390 3089 606
6411 289 -647
3917 8281 960
4388 6255 -730
2714 4823 177
2460 3339 -192
5157 5595 807
5092 1813 698
7628 8813 822
5533 3481 -239
8979 185 -154
80 3152 -746
1908 8446 151
7472 4628 -700
3819 2862 450
3720 3035 371
6541 2241 -755
475 7440 -211
6220 4717 444
1233 8972 371
2469 5358 -117
1825 997 -263
5916 8076 -428
8135 6812 323
6811 7267 -712
3199 3598 594
5479 8881 -593
432 5737 -189
8812 9018 -413
5845 592 649
3013 8321 -727
6048 2023 -380
2882 2782 -417
7832 918 -598
1278 2926 -283
256 7048 805
7257 1042 -95
6164 2783 264
1521 9075 -727
5112 5035 527
3721 2774 380
3565 9015 -425
7431 7995 -222
89 6757 539
6903 4262 903
4632 5923 802
7910 4698 -367
4089 8010 207
4785 1096 958
4602 2045 104
5525 1589 -666
6514 1260 539
2013 6229 728
956 2078 357
7757 1437 554
5086 4099 640
4707 2559 856
8046 5815 469
5995 7692 846
3423 3552 485
641 3030 355
5756 8155 -220
430 4516 -758
5009 3014 -6
2342 4362 -522
5641 1745 415
3988 4708 457
1573 3069 -823
7899 5488 623
6816 2496 386
127 6410 -254
5852 6439 985
3447 8938 775
5922 6730 680
2500 3331 372
8157 6111 950
5428 6877 174
6642 2490 -563
640 2883 364
7742 1902 -199
448 1595 523
6861 993 525
6967 4738 -327
4084 2676 -879
5022 4379 -477
444 8222 449
209 4338 -547
609 394 -161
38 7914 116
6709 3867 361
7990 5346 270
1009 1666 591
4623 7474 -411
8598 4708 395
6387 1251 354
5613 5404 -375
4756 8827 540
5291 3156 182
1578 2249 467
8683 3507 -674
4690 7925 -103
1039 696 861
8217 6242 -44
8860 4179 -187
8833 8974 178
6888 6856 -795
3896 7769 -8
8952 4095 112
1586 4730 -741
7145 2923 -548
6675 2404 640
1147 5136 117
3038 1363 681
3058 4989 -271
6873 3667 -919
3659 6629 -661
8723 2351 -1000
6429 8460 138
1617 4285 535
8764 4205 924
7748 5967 841
5211 8615 -944
2782 797 858
1361 1493 -400
2135 6859 -249
3605 2219 167
2335 390 -431
5523 6278 569
9085 7366 -160
876 746 -741
5219 1537 316
4264 3921 -186
4992 6432 158
3194 2715 -275
512 4670 -164
6510 753 321
8159 2577 -535
7295 1367 540
7618 3089 803
154 1513 926
3070 2531 668
22 5444 841
8410 92 -644
615 5486 174
8393 8160 179
2960 6677 406
7763 6693 -491
124 2874 -146
3888 2092 161
5403 4251 -940
698 3547 154
4417 6927 131
9124 6215 -903
7616 6890 -243
8267 6756 -161
6404 5377 -594
3613 6521 -87
3752 2526 -85
3179 1566 -831
3222 8939 -404
8886 4563 -317
1936 879 -851
5060 2936 898
7951 8762 6
7337 9065 447
3998 7878 -310
5952 5621 -449
2420 5237 509
2794 6341 352
8007 7447 -922
4043 1251 -928
734 4878 -13
3822 8849 735
8870 4542 711
7492 6168 183
8509 5145 634
2196 89 -578
4625 713 -789
4800 2316 -81
7947 2232 -792
1395 2804 363
3404 8447 -369
7138 357 -626
5351 6582 -648
5330 3280 -947
9110 4809 -879
3388 5131 -825
116 1821 172
7706 5651 -307
8022 2755 495
7951 6757 247
2566 31 -47
1094 2223 -410
3383 5534 -866
8543 8026 -344
856 244 -178
9106 2328 -420
3341 4517 9
8800 2242 -543
4378 7605 950
1943 6711 66
621 7272 161
8139 4505 243
2166 4071 252
6940 7679 -902
2420 8707 875
5415 320 -358
3350 3773 565
4929 2708 -572
6781 7504 -486
5801 4383 76
8277 1510 -427
8339 3911 -45
8704 8397 460
8589 2565 106
4943 6358 499
6569 4352 522
4760 8145 -544
2535 729 -799
2400 7270 436
3203 904 -504
5542 2926 -332
8211 7801 941
7801 8663 165
4494 7082 330
1092 2232 855
3334 2302 202
8099 9044 -795
8629 6425 -576
1781 8045 -973
63 7880 -634
834 5359 593
7793 7928 -534
8049 3241 -573
6026 8838 -794
954 7189 -411
1746 6182 -1000
1113 8022 467
1907 4617 -167
8356 3283 -900
4272 2734 -505
8459 3642 -985
6593 4865 -331
9014 6523 863
2485 2135 882
3484 7985 -869
1726 6475 429
7062 221 -198
2716 5757 -497
8560 7714 572
5475 7182 653
5883 117 -176
9053 8641 -872
5797 7827 352
1331 4369 976
8441 4664 247
4359 3812 -42
2720 780 -311
7717 6156 66
1947 8502 416
6640 2426 83
2606 2835 -537
1105 6837 131
4732 6272 531
952 156 -447
4676 3201 197
8612 3839 -587
7186 8776 920
7321 8042 -344
203 5591 -797
7304 6541 126
5522 6874 723
4088 7858 -388
642 7585 -71
7281 1889 147
1700 6099 199
5890 3354 683
433 6579 -940
7813 7701 -456
3638 4566 398
7707 2777 -304
438 8308 -661
6199 6943 85
5270 4161 -470
5315 807 816
9093 8170 701
7364 9015 -159
3515 3109 -87
3939 6606 967
2160 1324 644
1850 4590 -42
1807 7297 -61
1362 1105 -667
3489 7884 -188
6265 4001 -556
7698 8028 314
70 7349 705
1715 802 119
4385 6961 -459
7071 5106 485
7896 3288 353
7822 8256 321
6215 5717 226
7961 5004 -977
7618 492 -680
8869 3535 7
4243 7340 -309
1242 1888 681
619 7310 7
5958 2107 -225
410 1658 -458
2285 7603 -913
1838 1747 -839
5591 2114 790
2124 2403 881
1892 8174 804
2665 5001 -398
2057 216 -280
6081 8729 295
5614 3512 -752
8898 1554 702
2379 5716 209
976 8828 353
690 3916 623
5390 5537 974
7308 2644 995
1169 2697 -573
3762 3250 -699
4601 8890 -672
58 3001 -822
8807 9021 -283
100 7667 247
7044 31 21
1034 5057 -160
5780 6824 366
2229 7044 -820
6460 3664 743
3923 3449 -572
5057 6628 360
3287 1418 982
6579 285 976
2737 2107 -552
8354 1847 500
4244 4037 -298
7934 8686 311
3824 898 220
6804 7139 236
8966 5848 -765
7956 6197 -205
1774 8298 337
3796 3407 682
8385 347 -589
6993 8169 -446
913 8186 24
3480 7765 46
6775 7120 -127
6319 3219 907
426 6015 -93
8970 4710 930
7756 6625 -359
8001 2893 409
2923 8016 885
8775 8891 561
6896 5303 -476
2319 6219 -67
8316 830 338
8539 6134 -294
7925 6763 -196
8313 5321 -166
6294 2607 124
5333 1199 -959
4625 3741 750
754 6491 305
2139 6836 70
594 9049 -487
6300 8182 -391
7260 932 337
1631 5561 196
1363 8777 30
4101 2966 483
749 6018 397
5047 6097 397
3571 6489 -173
7408 7239 393
7524 3404 413
4305 5837 -563
84 3153 -741
3723 8828 -93
8024 651 -33
3070 5661 -288
7484 6793 682
4293 3323 -927
4874 4589 -278
5111 5705 519
5657 8985 98
477 1158 8
2445 5339 -780
1881 5339 -431
5839 4771 -964
8522 8902 -637
2083 1091 633
2411 559 -751
9012 528 858
8521 5554 544
5078 3953 909
6503 2598 -417
6624 4626 946
540 3574 -985
2390 4416 -897
3113 2145 -268
2110 724 -167
7296 17 -571
3665 7573 560
1290 2078 -9
1066 603 0
1479 6486 -848
3450 667 -201
307 4689 -71
2102 8423 -856
6066 5641 289
734 2030 222
3954 2325 364
5087 1534 -930
5289 2192 992
6932 6874 387
2847 1585 -139
5997 3870 792
2930 8514 919
6031 6648 -216
2732 7819 -419
1552 8298 335
9083 6880 983
8038 5048 -835
1626 8491 -112
4449 7407 -340
6320 179 -706
732 2432 365
2786 8652 949
967 3046 547
2085 6763 -946
1204 1209 -716
3283 326 907
7625 4235 -589
7176 3548 784
5700 4068 966
5038 7287 -389
7921 3952 943
5721 8572 462
8509 7986 -440
7160 4272 -611
3850 7515 401
3911 292 164
3793 1583 -253
6099 2098 167
3089 3827 -746
1404 2035 296
2989 425 824
7804 4546 470
7064 1537 147
1898 5744 546
8696 4505 -90
5891 3177 -62
6693 2109 -214
7054 8114 429
5261 3996 -190
8416 7332 87
7035 5024 994
647 6398 357
2176 6043 -723
5334 8262 -410
1397 6706 464
3967 5229 448
539 4978 194
4656 1470 174
6721 1684 220
4570 599 745
333 2409 -7
3010 5562 453
5096 6105 947
7301 106 -661
3056 4065 727
805 2626 562
4692 362 -278
4616 247 883
8300 1573 -108
1272 1398 -771
2474 1136 243
3657 5345 -400
3449 7328 351
3466 7882 325
2586 8717 -762
6468 9004 -492
2552 482 65
5663 2183 194
2362 8461 779
4319 2242 -754
5092 676 -61
5676 1720 -608
60 527 -827
5523 5537 489
4170 6475 -503
5342 5183 766
3488 7284 -921
5699 8489 -491
3360 2913 580
2610 1933 -897
5445 6204 -893
6381 5527 -521
1593 4124 -230
6031 2511 525
5275 7228 -749
8612 4678 -213
3594 8594 -23
4521 6660 -73
5055 8319 559
3970 185 751
7619 4630 824
1954 4997 -33
3995 5225 979
1977 4458 793
3039 6869 -471
7619 455 -766
6859 8151 -856
8198 3972 -313
3039 6825 290
6479 3696 341
1403 6799 366
4261 4038 782
5027 8119 44
4564 5706 949
6017 6313 -286
6020 2101 -560
8745 8603 768
7553 2213 -40
1860 3113 582
8393 208 -246
4319 587 -108
287 6758 536
5792 1951 395
2829 3835 -461
2969 6523 354
4411 86 577
6060 1500 -691
5994 2460 58
6472 2581 412
331 3042 117
474 1136 553
3662 4401 853
173 2944 594
1996 4812 -628
3200 3216 250
7973 6534 885
580 2961 356
4039 1322 -681
6632 1701 9
2928 7593 818
6046 7930 -738
6224 4499 -614
1276 7488 268
780 8317 -130
3188 2750 751
1941 5934 229
5608 7181 -356
5043 6763 980
9097 2978 -201
3440 1424 -494
8299 3823 -476
6718 5353 151
666 6144 754
6669 225 462
1547 6331 -36
6956 6493 -213
4030 4922 971
8577 7098 -607
2663 2730 233
4078 918 -824
4591 2123 885
445 2216 603
3656 7964 457
1185 6637 558
3408 5900 254
3223 7207 -56
3985 4227 -465
5638 6657 -189
7119 6116 286
2981 1196 431
4963 7732 21
5236 5578 -741
1194 1223 -934
6610 1028 513
3307 2729 -691
5514 232 12
7160 8045 -255
3689 1588 -945
3780 1120 285
8384 5288 -264
2455 5265 248
5798 887 883
4680 1420 -970
8220 7533 453
6552 7285 669
3317 2718 -663
235 7985 -368
3798 5320 -516
1778 4210 -568
1243 7364 221
2531 4388 732
6221 1867 415
6089 186 -405
1187 5474 -785
5052 4753 716
1991 1106 105
5380 7009 389
8732 5994 531
6462 3003 -269
6273 5038 -746
426 239 -572
735 7235 -812
6551 8983 198
5124 3141 479
2895 5450 -56
2212 3944 198
6655 7684 118
8266 7865 -527
1661 7510 810
5155 4380 -769
1436 1356 -882
6664 5651 792
633 5870 -550
9052 5785 397
3805 2910 820
9122 5015 674
6982 6064 310
6485 6333 925
7797 1683 -554
3799 5231 317
4273 8023 -895
8281 6323 -599
2453 826 -760
4042 7409 970
4943 4400 270
1666 8992 -357
3718 2936 -407
1523 9025 895
3101 3635 231
1889 881 943
1980 7944 765
2473 5464 -90
1193 1877 70
7351 375 913
3699 324 -142
205 4038 -691
1760 1609 50
2582 3505 390
6008 7420 496
2675 8570 776
1549 2863 -278
5560 1914 -735
8301 5805 215
2871 2770 -598
610 8682 890
5569 8702 -63
3742 6832 354
3879 856 757
1596 442 259
5665 5622 185
4589 4490 -276
5105 7448 -878
7553 6652 839
3954 3469 -120
5734 8604 -568
4616 3316 920
5085 8283 501
5414 4294 321
3596 3462 -111
6021 1969 -763
6181 206 982
131 5416 684
2227 5476 -465
4152 6179 229
5649 7957 366
8883 3660 -742
1527 2599 992
8030 7758 -2
8965 5489 -786
422 3635 920
2550 5191 493
6478 6724 -148
4726 1443 95
2372 2043 765
1862 8194 252
8222 6283 -826
3721 385 619
5426 8079 267
2136 7510 243
1024 5822 952
1991 2267 1
5035 5047 -198
1564 1759 510
5314 8389 826
7385 3778 186
5419 4809 -543
1557 1661 13
836 6028 297
8774 2106 72
3614 8238 282
6974 3052 -444
1685 1996 666
2449 8805 259
8803 2482 -904
3716 7135 917
368 7997 -321
7905 3456 229
8638 6028 -295
3683 5936 26
7549 5683 -13
8732 1224 817
4830 3065 419
1716 325 979
7394 3584 535
6203 8431 614
7799 4811 653
2905 8707 256
8222 3939 -395
1633 257 326
3042 6833 345
7084 8793 818
4337 61 897
910 6451 135
3940 3761 -470
7574 6651 730
8112 6967 -457
9103 278 709
242 5266 -882
5880 5971 513
1350 2745 698
7404 2218 -152
6742 6214 -416
7755 4251 593
6466 6768 -975
1304 6077 -241
8478 413 936
950 8969 -703
1518 3236 826
2374 1658 945
6579 9052 -660
4075 3455 -100
494 1350 -458
4791 529 243
4729 7472 182
3914 2507 -210
6681 245 -158
3326 1803 -746
178 3845 -79
6656 576 158
7101 5196 375
3567 3420 784
3957 196 198
6727 3823 -648
7662 677 871
2751 130 139
8064 5553 972
6722 7150 -584
1120 982 -194
2028 8758 318
2016 2352 473
8415 3733 -77
2185 1924 -452
3129 4425 605
7292 8580 -586
8528 6142 -211
2754 8929 -761
74 6759 -290
5827 3801 276
27 7365 833
4182 7893 294
7254 8834 -916
4613 4047 814
7350 7401 -895
213 2739 471
7192 8685 -521
718 8762 121
6803 5375 27
5161 6489 -963
1073 7834 99
7672 6005 -530
5064 7268 229
6052 8961 -164
8536 927 538
8844 4013 378
7361 2884 584
8657 2099 -745
47 5717 -618
4600 2517 691
7095 8390 -90
1013 7431 343
3960 6713 -239
8752 3636 -181
1067 4377 -806
6062 7558 -514
5027 6791 -52
231 4165 699
3913 7159 -197
8761 8202 289
4057 2144 98
5810 2471 950
6211 3303 877
1096 8056 228
1053 3380 -130
968 7748 -50
4886 2154 721
697 6848 785
2179 8024 -47
7174 6655 -166
7321 4225 -940
1691 9039 -951
6726 941 -340
4442 7264 -620
3898 1904 -899
7077 5392 729
4445 6712 576
8203 3115 277
1780 4351 -31
7924 198 117
3992 948 525
7553 8097 -703
1338 6273 285
1433 66 -169
2988 1656 843
7866 6840 -999
493 5363 -48
2946 6668 729
5762 7066 755
4180 2723 -614
3729 7289 -82
5690 5437 25
2865 2836 -620
5060 6581 475
3079 2875 960
5116 244 75
3943 7939 581
5250 6875 -603
4011 8929 -331
4795 7715 325
7629 5117 773
7963 7370 89
3352 1658 -423
4794 7358 -515
6374 2215 -248
8334 313 -456
1478 5766 578
6991 6165 -326
3926 5713 786
9083 1834 -186
1168 1075 -1000
6780 3157 465
9006 1623 -966
5066 1586 -5
8311 7932 -513
6725 1723 -422
1372 3682 251
2701 1540 -115
1447 818 -213
6304 8303 902
6061 1967 -74
2814 3922 -343
8048 5779 -850
9037 6002 450
3128 1576 738
3299 6338 -562
6815 4706 -59
3436 7391 959
6086 6278 -561
345 9021 995
1126 8016 320
7252 4766 316
3314 4973 15
2927 246 -664
7798 4606 588
7872 4637 879
5816 8105 -792
3228 8419 813
1221 1624 -504
7868 6023 -439
7009 8981 -277
7146 8201 898
4180 5840 594
8732 4888 -818
2030 3673 -465
4899 8653 342
3517 4172 -807
4174 2192 979
7337 7462 -694
2348 4248 248
6199 107 -468
1623 6456 990
4178 743 869
3411 7195 480
6378 7852 140
4741 4379 488
6462 6929 -212
8678 4612 -11
7666 4051 378
4856 3925 313
1597 7742 724
9031 1347 888
2204 5471 453
2681 2811 57
2363 6850 -721
5487 7381 -274
8884 3761 -695
8894 5270 -173
3494 1331 239
3588 4506 -872
708 1424 829
3379 6663 -120
544 779 -847
2482 6987 -450
146 5357 177
1364 1215 125
3567 4359 506
8697 5253 -777
1414 2403 -988
4515 6054 -726
3377 5356 884
8852 8282 -341
4780 5723 433
3198 5522 977
3331 2369 -13
3067 6442 -632
2953 2149 -685
7126 6396 119
3275 7071 -260
8901 2747 30
1660 4487 164
2329 1859 294
3140 2571 -992
2347 5760 -140
332 1964 -907
5969 120 783
3062 4450 995
1473 8540 -115
1465 8941 -156
7538 1835 -861
3999 1262 -894
3557 7460 -780
387 7831 -594
5198 6623 -538
2670 5339 334
8668 4323 331
4176 1985 925
3137 5896 -962
3166 6522 -767
410 8233 915
7918 4960 -950
8983 5339 268
212 6731 909
3369 7170 138
8676 460 -582
8133 3560 856
4077 6892 -721
4113 920 320
3573 1788 -686
3555 8836 -533
3247 1736 -838
6919 44 80
1933 1235 182
2376 1293 -638
1059 6463 -360
4586 1242 584
364 956 750
6648 272 737
4371 5357 979
2772 2686 17
2731 4436 -25
580 3507 235
7179 3937 -508
422 6880 -328
4424 2556 739
7587 4592 704
4243 8048 39
3264 8507 -556
3997 6653 -458
4427 965 23
6851 8610 -732
5839 7730 -334
2447 7743 -264
4416 4994 -977
2953 3819 429
333 2647 591
7753 1679 -348
8366 5632 -614
2900 993 -382
7596 3853 -906
5356 8107 -533
3763 1306 662
8828 509 -95
750 8245 -547
2493 63 299
6320 6147 833
8646 5389 767
5907 7183 387
676 8442 244
2412 1214 -114
785 6071 973
1952 8026 357
7040 3921 890
7283 692 814
8185 2325 227
8569 3329 -667
137 9067 567
168 1089 615
4012 8052 -300
786 9109 -501
960 1933 -981
8115 6625 -259
5292 931 251
8386 6264 -274
8422 944 -729
1302 7993 376
4189 5479 31
9048 2691 -151
4525 9055 -762
3567 3213 -873
2817 2245 -534
2323 6697 -295
1364 8527 969
613 6396 848
8427 7451 844
2049 494 -513
4892 843 -79
1662 5501 973
5730 8333 -833
5650 4817 -443
5339 2896 -748
8500 403 789
224 371 497
2513 4246 393
4880 1582 545
5798 1959 204
656 2361 -930
6357 268 31
414 6948 -675
6962 6922 364
887 2577 671
5602 1165 -135
1563 8572 346
844 992 387
1063 3695 -77
3481 1559 -701
6644 2924 601
5699 3589 -346
4503 4636 -374
4514 7349 747
4169 1623 489
8135 6948 -258
2382 2548 801
8196 4488 -690
4322 8364 -617
1722 7193 -346
2890 8803 -241
2230 7610 -122
4462 1034 -556
9043 7198 -534
3526 8137 -715
935 2232 520
5690 119 -415
8267 5881 82
4178 650 -649
1479 3219 299
3967 6484 746
4174 5962 544
3324 3615 652
7926 9109 -707
2375 5797 -20
7352 7133 977
10 311 183
5281 2769 -833
7244 2440 -498
282 6412 -624
3342 8564 602
9085 8842 -399
1733 2615 -594
7866 2727 -856
5337 7065 758
4411 4883 799
712 3177 927
5994 6544 265
6177 1436 -939
844 2623 24
5835 3336 -277
895 5351 -979
2425 8639 744
1240 1174 511
8983 6764 450
5846 3937 376
6296 3005 -149
3592 1565 -471
368 9070 340
5133 946 67
8638 5932 -197
8709 5400 -781
4416 5920 -341
3971 1042 550
2509 4307 -286
3915 6446 834
6670 8024 -651
4373 7452 183
6911 1382 491
657 1984 176
1371 5040 -777
908 7481 496
8861 4895 515
7929 8344 -480
1220 131 -188
2957 5137 134
776 6952 -122
709 5030 879
8506 5274 -782
6713 7929 -650
4536 6526 -957
2859 7420 904
4675 4709 684
7068 3418 302
281 867 -103
7349 2650 442
294 802 -736
1664 8070 289
3822 7900 670
4837 3183 455
4513 206 -369
5929 6803 -442
6255 4387 258
5482 1482 -929
4237 8809 -145
5447 3227 -844
7517 4957 291
4444 4261 671
5847 907 345
557 5388 -140
1442 3516 -27
3429 3297 709
600 4679 737
2585 8878 -398
3553 2407 -376
3801 6016 911
6179 2415 -532
135 5430 -694
6976 2298 -631
8230 5942 256
1463 7757 -835
8088 1867 -729
3851 5552 -109
5466 7989 -123
8990 8214 454
4341 4456 136
4430 7649 772
6233 6698 117
2362 5163 636
7221 6884 5
1177 2114 -207
7152 7085 -516
6548 5764 525
1988 9113 -637
5414 7134 190
4995 7787 -651
1191 5092 -837
8421 6749 -28
6143 2249 722
2304 3318 -495
4449 4207 -449
2282 9026 370
7724 4626 733
3151 7984 -585
3073 7511 853
805 8946 -805
3342 3870 -185
4436 4974 -410
6771 8767 -615
1729 8269 457
8531 4655 -311
2197 2679 189
6954 8095 45
8492 8050 977
8553 362 -738
8416 3888 -953
7218 4128 -93
1100 8743 -753
364 3442 346
6559 711 767
7538 8500 853
6526 4358 387
1305 1994 502
3528 7679 226
5390 5232 -373
1946 5447 905
2550 1009 -875
6679 5754 -309
4113 6889 197
6191 2856 576
3162 8071 -281
2763 5073 118
4556 4606 492
3879 5133 -565
1644 3951 201
774 3461 336
9025 402 -668
1275 8527 -875
2845 3193 -680
2009 8580 304
6893 541 396
855 4488 63
4486 8515 4
2433 7287 244
6278 6845 165
175 8453 -443
2857 2844 551
3839 1882 160
614 4601 -800
3852 406 700
2108 6367 -34
2837 8983 725
6303 8370 116
7149 188 168
1020 4144 412
5527 8893 428
8597 5271 -386
2021 3649 -963
506 138 -658
4667 8599 -805
4279 2424 -97
5861 449 -71
8773 8833 431
4634 5939 252
8866 7743 614
4126 8818 731
6692 1033 46
5842 7562 644
7488 9062 529
2124 4830 907
6962 7376 -926
7121 1932 -126
2300 7100 584
850 3894 900
2866 694 760
4113 6903 -327
3942 5338 -874
2173 9044 794
1735 1561 -759
4542 1016 -56
7746 1091 -502
6690 5760 -218
7535 5016 165
2285 7503 -961
4644 6843 944
671 3421 -252
7229 3258 78
4921 5052 -162
4479 6728 530
8585 7470 542
1855 4489 214
2286 4978 -840
5966 3437 928
3875 8837 -145
8657 5951 -230
5678 5307 -19
113 6329 834
6317 8890 -933
437 5359 305
3627 8016 833
4383 128 -847
7394 8403 808
2540 1939 524
5587 4337 -335
1396 5243 -380
8141 6513 17
825 9062 -82
1384 225 -920
3194 8631 641
2988 3714 523
7024 4859 -935
358 1687 -539
7170 1920 -957
711 8418 884
8262 8308 439
5129 7556 -23
5538 2119 -56
6551 7353 -860
5275 9041 -519
6031 5516 180
7176 5886 542
4031 5034 -193
859 8637 -292
8436 3628 -838
2702 4029 -740
3108 655 -490
1666 3413 -411
4789 7661 676
1496 1723 865
797 4194 -852
3952 174 91
5086 7675 -780
3766 7478 -12
1091 1227 -668
4048 8403 -738
1652 7680 -793
1634 8619 -621
4506 5205 983
6681 7229 865
5168 2336 -444
3000 38 524
2784 4461 -858
2988 7244 191
8001 615 -102
4589 7089 882
8068 4701 702
2402 4369 969
301 7274 -89
638 2138 993
6408 4975 -519
6036 1374 789
8781 4609 793
341 6347 964
6197 4203 190
244 8684 -918
713 5636 566
4086 3090 100
6128 5293 -709
3047 8840 -714
2163 600 -748
1505 4360 -538
6306 8495 288
8412 5188 -670
2586 3263 -693
3120 1325 802
1422 6876 -966
4423 6801 94
968 2470 -82
2480 3543 -708
