970 2737
652 144 191
667 740 757
767 835 377
223 471 624
495 613 571
649 489 235
358 269 257
637 204 652
509 530 288
892 945 861
774 33 386
278 56 486
254 58 882
824 4 384
341 424 884
721 412 217
826 359 214
638 595 18
304 427 379
495 493 711
554 124 12
496 928 406
3 541 726
540 569 86
8 705 425
454 369 45
678 453 256
466 556 622
460 805 117
329 868 781
28 677 872
183 902 879
19 454 960
515 897 242
606 597 650
73 86 882
199 912 631
34 796 70
800 23 571
407 595 848
606 858 453
775 34 935
878 903 675
503 164 900
528 318 806
784 770 696
346 843 630
282 287 126
491 193 501
65 361 753
352 312 698
406 61 666
86 487 911
928 583 479
724 592 606
298 278 539
346 323 454
540 316 303
466 513 400
178 75 397
127 167 834
188 652 66
831 487 901
807 110 779
737 718 483
309 96 7
71 820 313
843 836 771
603 185 738
788 962 652
443 464 86
746 271 580
581 19 41
365 529 907
122 910 391
84 140 915
644 953 917
417 286 964
394 312 686
86 917 115
218 871 453
451 197 705
931 447 445
752 86 945
40 221 404
479 159 762
264 315 311
903 898 682
177 495 382
58 232 234
730 813 59
490 967 344
370 604 634
48 462 803
656 465 741
142 832 710
963 523 150
238 42 620
568 756 714
447 141 112
380 197 951
414 219 69
73 208 857
628 392 549
118 328 75
937 684 456
309 828 905
491 401 289
945 659 378
410 238 685
550 868 762
309 196 504
660 915 999
507 371 747
961 602 345
332 107 534
473 840 5
609 45 64
611 592 681
440 227 321
379 947 415
881 578 620
879 772 994
706 721 441
750 865 961
867 105 645
104 135 255
802 592 322
363 654 472
773 358 428
43 902 884
163 796 682
5 398 108
602 301 392
79 93 155
564 670 518
170 159 318
172 581 331
254 277 340
477 117 750
355 814 112
44 646 746
765 310 581
447 407 405
572 165 919
638 899 138
593 581 341
568 809 524
728 459 433
278 428 716
499 71 542
699 382 449
374 307 631
637 48 482
492 520 491
646 657 76
862 691 459
76 307 108
550 410 294
556 261 543
66 384 19
6 158 711
663 939 521
188 688 161
193 321 534
380 550 900
601 559 807
187 141 144
161 540 25
629 222 536
789 317 749
684 329 278
308 285 127
800 418 951
555 272 947
466 889 565
866 841 544
571 218 162
18 839 556
646 137 313
609 918 288
255 688 890
709 578 609
842 623 578
391 632 137
637 138 394
759 785 798
806 884 986
710 807 260
379 774 571
686 275 179
371 864 950
865 580 21
187 415 629
524 204 984
583 729 557
276 581 677
563 57 310
938 891 564
171 205 693
207 390 581
284 38 951
410 234 405
884 288 278
565 349 811
942 525 871
165 737 245
379 649 776
618 659 718
133 173 77
670 390 266
412 223 903
12 803 157
228 435 572
143 897 523
641 635 857
699 678 487
924 933 776
29 596 326
859 626 70
898 452 239
633 351 587
657 745 213
386 763 764
170 470 800
339 700 369
378 359 36
517 898 454
70 223 132
500 391 351
625 202 9
325 305 109
190 372 506
496 76 389
128 42 634
377 888 799
656 116 248
270 682 625
712 921 871
120 557 330
678 750 707
94 651 506
953 527 722
282 736 994
602 622 889
544 720 354
158 605 557
809 630 731
595 287 838
861 533 48
800 471 785
639 8 353
499 914 528
76 265 260
943 164 258
879 115 800
760 620 104
710 371 601
761 105 649
588 472 340
646 32 855
491 699 989
209 410 847
616 637 298
954 219 113
613 147 73
377 724 579
426 522 664
729 299 966
602 772 839
476 423 503
441 440 849
147 159 671
157 296 799
681 48 330
492 451 275
63 887 986
421 402 974
691 452 690
838 520 681
66 502 880
217 871 189
890 685 422
86 672 328
315 183 400
47 962 765
16 363 955
229 496 399
304 749 222
107 4 228
358 285 173
379 398 279
244 913 587
249 122 270
431 962 419
921 276 828
7 526 669
130 657 24
216 79 442
484 226 990
226 608 920
486 7 180
531 149 363
467 898 262
543 641 348
13 15 489
318 938 437
854 597 78
554 605 557
92 882 30
573 556 93
15 677 425
140 671 267
759 764 807
490 407 325
239 127 778
643 866 893
209 550 222
789 200 894
191 59 650
559 890 747
797 625 305
727 908 449
369 948 966
58 802 694
934 266 326
232 548 125
30 751 537
14 405 133
457 898 305
464 269 364
214 645 115
693 54 443
192 569 882
876 161 197
856 837 628
353 64 861
564 51 424
824 797 840
533 393 334
407 958 488
77 909 864
912 382 769
249 480 107
711 637 195
830 13 543
576 233 312
181 584 880
318 308 583
800 373 219
227 401 138
721 122 826
577 803 945
124 502 148
48 200 774
10 28 73
110 311 762
175 708 179
969 186 66
142 236 780
64 845 956
713 414 679
287 863 939
835 498 987
221 606 903
87 137 640
823 795 967
468 799 979
99 904 431
379 697 214
794 431 898
885 571 378
929 351 32
731 256 974
348 892 895
774 50 992
110 310 781
132 396 322
226 6 939
510 269 31
57 139 406
243 12 388
953 832 157
326 222 852
612 505 809
121 298 149
53 24 348
48 756 268
95 680 546
441 291 878
659 250 673
267 538 139
265 945 559
3 259 372
16 255 90
541 87 925
369 420 565
333 263 489
140 628 931
881 367 287
42 688 870
239 720 741
147 559 357
44 331 295
133 713 89
431 876 403
80 632 674
696 198 107
113 128 790
446 864 162
491 789 484
955 442 810
665 364 909
188 686 711
344 146 940
54 273 472
615 336 213
675 539 476
471 765 931
125 691 874
366 966 633
792 630 906
575 520 515
704 379 823
934 185 318
876 866 406
109 503 264
222 485 368
368 544 21
45 355 587
715 640 354
367 205 86
757 185 610
541 125 956
457 695 440
548 74 785
114 84 799
766 455 219
184 12 749
638 320 517
552 533 637
913 469 74
320 383 227
374 612 183
516 902 153
439 229 24
213 59 255
677 904 397
837 582 570
892 478 112
206 175 884
107 475 177
967 439 546
578 740 766
537 293 314
46 946 637
67 408 321
410 730 12
949 736 259
346 8 689
86 131 739
855 204 546
384 1 120
832 830 331
933 527 840
799 276 840
458 302 754
688 48 283
295 843 486
693 102 387
870 472 464
97 56 585
528 567 615
320 593 216
147 56 788
882 64 952
615 860 508
64 133 426
166 553 930
785 334 928
740 862 389
407 150 441
588 659 863
33 180 245
827 239 947
835 859 621
963 102 13
379 314 151
241 775 314
930 61 513
449 726 254
774 668 444
472 499 158
609 117 606
213 481 621
671 417 165
183 873 877
409 744 363
153 23 907
277 629 30
713 654 732
274 496 262
872 683 579
795 492 762
683 806 875
838 414 985
830 230 386
288 19 183
257 504 822
37 395 489
221 528 336
884 915 887
205 502 209
101 273 386
824 263 756
596 836 977
115 706 574
889 475 559
644 293 790
646 260 553
558 450 170
574 944 912
256 765 206
120 887 896
761 279 630
536 285 907
213 580 876
523 867 842
808 563 338
928 731 372
313 675 125
831 814 67
316 534 748
717 952 391
609 791 19
539 378 35
684 940 738
477 25 551
468 377 668
589 264 1
436 708 118
833 835 735
171 359 662
333 95 686
94 641 13
659 364 154
791 12 283
651 867 848
680 152 839
293 141 206
644 529 184
2 796 717
80 622 614
353 378 497
919 905 289
629 208 527
694 849 715
277 742 191
66 598 321
35 771 124
284 779 20
417 649 566
553 74 310
330 464 928
851 553 648
618 92 527
321 830 233
846 795 140
462 611 720
808 59 333
476 468 34
105 419 574
610 565 753
88 97 914
505 73 480
564 171 801
784 390 891
403 512 477
420 403 812
422 86 27
610 245 291
46 776 959
731 968 56
224 527 201
302 876 561
479 677 928
730 148 755
154 659 650
147 88 123
91 182 399
561 92 399
726 266 460
594 411 203
564 860 74
909 364 550
383 298 501
823 813 605
190 91 817
645 831 434
926 359 344
166 324 839
290 941 267
739 572 564
706 123 914
242 783 752
535 405 149
176 562 400
705 234 62
442 454 139
2 393 5
178 147 4
213 500 836
939 312 356
700 305 761
787 590 711
857 614 533
329 424 927
726 941 863
200 1 462
876 881 256
759 218 716
721 116 726
733 950 284
582 563 680
563 102 328
772 834 38
630 85 893
533 591 545
299 740 673
563 84 896
502 701 847
466 410 928
703 87 560
229 691 715
54 350 190
894 76 358
102 100 791
177 549 348
898 56 666
423 91 284
66 595 76
854 715 231
409 241 943
464 496 164
633 265 961
872 348 404
963 104 931
922 632 596
701 845 782
867 109 94
261 13 37
532 257 933
353 480 65
655 506 380
796 758 26
560 508 153
643 175 843
942 304 857
241 809 309
223 943 555
968 248 532
414 452 8
586 709 6
954 197 905
397 632 982
363 278 266
168 886 634
710 900 25
895 521 832
380 324 176
118 445 101
368 381 188
245 878 327
133 411 46
190 272 781
272 569 497
585 400 381
95 384 103
301 27 462
97 673 715
126 74 552
415 805 875
673 348 310
540 779 140
132 407 314
697 299 747
365 98 733
862 908 440
809 227 371
220 430 536
922 388 103
343 958 148
227 293 328
582 255 337
230 743 604
346 4 726
259 219 647
644 722 128
269 491 672
294 515 498
929 412 765
922 318 832
123 84 297
429 9 54
732 777 44
546 576 658
665 879 93
609 641 251
233 631 746
486 698 538
936 501 398
517 314 666
905 597 323
154 710 134
843 44 496
857 488 349
510 617 150
279 857 448
970 192 95
884 92 591
266 319 935
901 63 161
825 268 788
310 921 227
908 776 360
443 124 579
86 204 604
72 110 663
672 807 303
385 682 504
552 616 426
965 411 94
162 282 282
394 155 492
897 562 887
146 395 327
420 139 214
172 54 22
78 821 59
96 669 774
773 333 311
928 80 265
432 57 170
363 21 330
866 416 828
708 424 831
377 174 389
652 881 908
50 282 429
262 560 707
660 554 812
83 37 574
807 52 3
626 795 989
704 21 81
623 868 690
688 603 267
24 729 952
509 964 569
266 177 768
537 823 622
709 80 178
119 96 71
888 213 996
11 530 607
248 68 367
392 375 677
796 474 138
456 887 112
968 159 259
730 578 824
467 923 843
754 397 443
318 189 590
242 228 974
65 52 81
626 113 361
744 949 177
914 154 601
368 610 209
823 169 177
559 275 949
732 248 157
430 189 923
649 46 246
812 295 91
55 848 311
674 967 138
208 890 230
598 403 205
714 378 64
11 165 781
726 612 740
154 146 516
303 680 528
161 552 785
832 592 462
771 415 330
41 914 350
923 237 719
805 952 778
190 594 982
902 283 471
490 41 368
518 639 718
415 689 853
741 67 459
34 911 93
350 555 204
254 646 660
76 882 531
366 223 265
362 756 795
553 899 894
17 397 782
146 433 562
424 652 824
774 248 571
672 453 819
183 201 368
699 799 17
891 590 989
611 279 266
157 921 405
554 146 671
382 928 297
489 395 388
944 278 569
887 253 497
623 374 295
138 311 684
626 128 382
512 486 83
226 114 158
747 342 786
707 688 563
111 11 775
43 215 573
436 967 705
750 175 445
174 399 711
890 275 404
846 503 177
535 390 587
463 894 546
433 518 414
595 366 644
132 593 515
417 62 220
911 525 24
652 185 105
782 487 458
132 393 704
615 688 216
550 423 848
408 316 866
152 122 13
631 299 966
664 231 668
424 489 713
628 255 172
200 519 187
114 60 375
713 381 647
619 210 235
924 604 992
332 441 633
763 410 710
863 637 599
773 289 886
307 651 760
389 727 928
834 596 43
944 235 37
36 443 16
726 520 340
346 232 60
321 611 657
341 902 667
147 687 414
699 420 579
175 312 936
927 635 998
458 470 93
528 665 391
735 849 178
95 276 191
18 33 844
2 195 763
221 419 933
813 474 279
527 775 334
784 329 91
465 190 177
321 915 870
19 196 736
343 838 47
115 632 401
47 107 611
370 627 127
574 148 906
488 348 301
78 724 200
8 470 113
788 182 986
161 536 720
743 789 207
888 452 245
424 405 627
414 410 211
708 237 642
774 621 583
74 387 860
790 856 284
704 70 847
340 437 368
29 618 115
180 521 841
352 89 488
493 123 332
56 197 345
22 370 452
55 475 229
456 509 459
61 649 836
543 583 235
586 291 837
243 795 221
114 406 341
600 595 91
672 792 362
931 587 581
656 620 826
24 616 417
4 705 265
320 314 858
834 719 990
798 764 897
650 254 502
282 359 346
6 77 984
244 442 509
691 219 124
254 767 944
757 1 15
504 866 331
758 890 447
290 465 979
94 242 349
228 540 727
245 561 210
90 16 977
779 429 34
431 727 153
690 550 136
130 493 262
471 253 792
934 212 593
422 391 111
78 563 753
215 304 378
240 818 381
299 900 215
592 554 811
552 163 710
32 770 824
771 382 504
30 895 663
139 229 492
244 952 360
451 278 300
50 13 106
96 530 551
527 251 409
157 249 249
658 797 915
43 175 989
178 182 604
673 648 633
715 124 13
70 661 789
778 536 616
943 647 552
579 292 191
479 89 999
294 285 846
373 862 21
550 232 970
377 637 463
422 644 737
830 447 532
261 174 12
508 42 398
769 115 866
807 483 350
181 343 565
837 304 267
694 612 95
758 586 22
440 92 958
121 760 400
62 103 533
952 573 819
441 519 734
594 285 662
601 740 668
924 700 952
486 830 967
748 153 731
957 536 891
905 215 817
216 235 840
453 32 790
147 461 696
199 816 333
439 399 558
637 802 586
257 912 451
880 594 37
229 793 726
935 650 639
929 780 723
648 380 974
35 645 79
197 681 58
4 341 687
627 11 521
812 617 800
812 881 103
487 709 149
798 397 494
127 483 888
2 725 435
877 919 923
376 99 68
420 759 873
907 214 868
569 433 811
444 615 603
308 911 956
98 34 889
630 852 184
8 871 666
445 313 636
420 332 625
665 725 190
965 915 346
802 166 640
684 378 848
544 385 978
430 781 810
303 897 422
187 48 874
857 404 339
887 601 555
528 935 497
66 257 840
581 664 990
688 174 11
763 667 829
352 22 789
414 121 597
272 902 815
914 573 718
968 219 451
755 667 760
3 181 251
533 515 136
847 744 736
658 24 212
293 557 849
784 520 169
583 310 231
112 118 745
954 420 350
80 301 625
596 731 404
705 541 328
151 490 946
837 386 653
693 582 263
432 554 207
826 386 96
955 541 108
752 67 179
345 124 16
613 551 115
945 419 310
26 410 468
557 471 960
846 366 94
648 31 34
704 162 760
301 942 330
351 952 580
75 148 680
169 323 596
333 920 774
520 706 710
774 202 609
497 501 616
708 458 846
579 936 473
834 231 359
730 290 1000
614 845 152
82 279 829
780 332 748
753 767 273
611 1 975
855 207 310
923 732 769
593 337 53
965 859 781
519 918 663
672 685 204
679 665 896
488 720 877
132 281 520
552 167 799
919 582 853
230 329 828
271 772 947
501 195 841
965 203 410
233 244 598
836 82 785
328 91 840
83 511 58
286 616 487
824 637 624
354 613 105
542 404 884
250 114 936
703 895 571
191 551 454
424 386 440
19 868 171
715 820 363
67 230 642
241 22 151
72 965 966
630 767 340
522 488 760
181 149 258
881 222 462
410 475 445
105 819 953
527 969 598
877 515 80
840 196 237
343 649 199
828 4 476
361 470 883
211 156 89
433 100 561
52 739 95
73 173 682
40 286 110
771 850 888
92 239 275
510 752 887
904 914 325
375 580 698
521 848 798
827 66 613
728 643 489
574 567 157
747 841 616
228 810 172
168 53 146
478 406 270
870 338 533
323 81 31
743 964 157
808 446 337
742 219 628
432 129 641
416 676 731
114 286 588
905 347 11
618 890 328
166 874 34
330 501 185
431 785 161
505 137 926
557 772 955
707 815 795
415 357 634
413 499 695
137 964 126
446 62 980
483 767 987
261 512 891
188 752 105
7 811 860
896 124 211
320 797 199
336 41 467
873 316 371
265 506 924
88 255 327
295 438 477
647 828 410
738 244 559
725 29 20
22 151 71
706 938 433
576 609 705
347 276 444
204 227 457
264 26 373
535 785 168
823 246 104
235 557 732
68 463 487
610 524 181
887 199 331
357 257 949
205 793 176
225 565 734
337 849 865
260 695 15
456 764 674
599 891 614
803 277 997
276 362 714
449 694 482
712 702 325
842 144 922
818 615 944
28 916 307
355 836 527
538 941 896
828 304 611
611 68 763
928 96 353
963 361 60
939 932 798
695 506 111
263 292 680
388 832 882
121 656 547
144 286 897
599 84 867
462 220 820
808 375 465
453 320 202
792 930 512
484 318 25
83 72 255
967 936 718
726 64 455
814 433 333
908 107 384
803 764 129
488 476 459
7 385 492
131 687 567
445 752 575
36 918 921
273 85 436
888 372 948
443 283 303
108 748 48
212 27 723
263 895 212
85 804 843
511 501 552
110 267 912
367 291 558
933 141 416
730 411 428
249 166 883
114 675 450
931 642 390
881 390 6
420 727 331
236 419 606
426 432 502
176 313 545
793 169 820
708 103 144
291 918 639
723 947 353
260 117 222
596 480 610
652 594 156
64 944 287
904 63 763
159 222 963
956 235 332
721 216 378
925 712 658
342 851 741
892 163 653
253 127 725
393 181 468
857 950 796
491 882 424
401 45 66
665 792 443
509 673 640
12 401 271
60 125 400
571 465 411
928 718 406
16 26 473
242 44 30
356 673 371
572 269 392
516 604 888
407 905 775
201 297 89
97 165 378
47 346 240
901 656 949
191 163 351
157 48 31
572 392 457
45 630 303
532 942 348
133 473 933
457 440 620
612 758 434
14 921 791
125 696 978
55 902 413
820 583 76
956 321 272
350 342 400
207 648 248
33 757 621
435 448 190
478 638 62
677 650 372
104 966 352
65 668 132
75 395 294
494 572 351
249 706 554
113 525 916
290 403 836
141 78 621
322 212 900
537 639 898
748 749 449
426 184 705
435 422 619
833 682 466
533 142 365
262 733 890
538 23 326
469 774 568
346 661 880
645 212 31
509 92 693
891 28 778
171 837 792
856 138 417
835 38 329
12 569 562
322 153 123
560 317 544
764 57 527
723 899 538
968 224 151
396 158 27
866 724 830
600 480 444
265 505 595
164 644 144
579 255 448
708 241 864
295 519 313
897 84 610
413 878 806
236 933 773
235 917 201
305 939 872
100 820 179
717 929 924
71 263 290
753 283 630
639 32 340
480 788 620
186 741 270
816 16 511
888 591 328
28 732 946
911 5 879
492 899 889
228 22 517
850 335 555
321 375 690
586 602 568
60 93 232
202 203 954
862 442 634
849 94 166
92 845 812
799 235 583
113 831 582
867 881 835
400 352 93
470 20 293
305 713 503
99 727 645
423 418 896
204 550 488
210 292 6
768 327 53
435 243 433
959 143 294
557 866 453
809 431 826
870 253 841
572 836 236
906 777 807
934 929 413
319 704 298
566 387 439
734 217 636
239 678 720
89 936 925
250 62 345
551 239 980
904 149 549
495 885 598
562 58 161
512 647 450
781 239 981
310 960 984
811 809 164
210 206 313
92 446 52
429 209 479
298 108 357
811 753 564
708 633 554
306 517 527
294 416 376
136 572 314
113 639 469
654 236 553
191 968 380
568 49 447
762 487 366
438 276 366
341 916 468
647 806 405
786 377 128
98 624 132
31 484 494
501 676 161
624 99 171
953 457 662
950 93 256
146 186 523
245 82 381
37 122 91
620 859 963
178 570 108
228 413 725
304 633 491
608 743 279
535 631 922
37 549 916
948 11 594
417 541 735
615 860 801
741 532 893
875 224 181
258 279 477
780 277 432
77 184 384
747 215 720
797 157 325
539 549 224
482 443 115
60 759 241
41 498 680
485 34 624
311 73 982
348 922 711
272 917 163
657 577 471
351 802 467
207 419 342
593 373 391
469 848 503
529 873 952
254 236 800
690 501 670
314 943 522
71 414 216
871 717 652
677 281 6
28 153 322
666 204 548
186 144 721
647 674 581
421 20 848
401 694 208
41 245 906
512 295 460
190 872 233
7 969 799
801 817 655
603 66 942
264 253 681
897 368 875
835 59 67
894 394 401
507 557 453
410 749 851
937 505 558
303 949 689
684 182 138
518 317 498
853 595 168
562 382 904
382 456 343
366 510 456
410 82 273
818 47 727
322 456 80
727 828 849
662 432 803
200 915 243
445 385 652
451 600 259
554 923 299
345 209 165
773 642 470
117 465 362
850 766 498
333 254 68
23 407 761
478 471 650
14 40 588
157 718 691
149 733 623
702 782 771
275 261 652
538 626 661
84 674 201
59 596 229
462 243 718
747 4 404
576 50 879
809 442 691
519 98 930
243 150 901
766 878 817
218 213 829
677 345 363
71 233 519
587 386 266
565 884 645
317 46 844
215 539 662
895 679 921
545 436 392
7 239 170
193 180 727
249 265 854
114 708 5
367 862 582
592 664 482
259 612 946
17 821 550
908 194 611
835 178 791
431 609 15
631 830 483
258 37 496
271 555 598
633 505 474
226 443 714
623 542 495
450 397 499
511 667 841
934 193 769
714 642 762
706 125 722
479 7 909
180 106 39
860 53 864
859 578 261
168 545 758
431 901 211
628 863 576
884 780 879
547 318 426
183 417 613
583 319 477
479 628 179
160 37 141
535 801 744
71 679 781
598 908 738
559 619 51
673 596 626
547 390 135
780 132 8
23 760 879
352 488 237
926 125 711
282 715 543
246 844 491
343 946 802
846 446 643
963 59 410
385 504 674
563 418 668
862 367 336
744 724 866
127 636 402
664 582 372
770 513 163
527 743 538
947 209 559
521 698 255
969 713 444
647 145 929
574 563 971
651 858 411
179 531 25
155 369 577
340 239 846
483 292 751
883 620 389
69 566 128
312 674 377
483 362 533
523 181 799
541 952 776
604 779 677
389 295 853
549 508 731
401 438 705
526 277 50
40 71 353
219 387 847
300 273 913
818 910 516
308 327 471
366 78 817
877 967 232
951 961 80
406 741 743
316 287 941
222 314 449
854 328 204
276 304 657
62 317 788
943 532 399
131 150 883
695 603 757
337 964 489
555 683 436
47 253 593
77 505 689
566 304 658
912 662 47
318 762 94
362 737 326
620 579 633
288 422 824
144 629 342
846 259 305
283 583 645
935 744 927
74 894 945
754 790 906
320 388 239
78 216 578
419 587 619
334 503 477
150 697 238
414 303 150
104 420 853
181 342 931
712 677 544
517 167 44
659 183 228
109 49 828
625 608 748
340 816 862
205 321 633
168 296 599
683 162 671
619 722 256
588 114 916
457 594 583
257 428 632
174 714 963
594 660 859
572 406 965
651 366 810
670 101 732
212 13 496
820 426 962
353 813 892
491 455 941
10 340 767
441 423 470
31 228 659
595 50 410
523 507 30
791 276 810
919 467 718
93 658 506
424 709 237
842 130 838
85 807 750
735 657 468
221 209 878
377 745 86
552 596 863
827 867 16
928 501 509
252 458 989
679 467 623
789 398 305
680 855 755
629 653 837
175 338 791
455 864 657
712 357 783
365 850 994
357 766 321
829 85 223
816 289 96
718 511 666
132 626 664
701 812 869
273 392 76
643 339 802
521 72 267
117 764 485
400 561 805
379 497 780
792 615 902
563 868 179
917 376 749
497 148 888
617 62 739
683 810 948
147 561 859
383 362 724
525 904 358
449 17 917
727 130 980
80 380 700
147 598 786
620 690 470
55 789 62
783 223 505
781 579 428
605 712 936
234 549 343
266 163 789
839 627 181
113 289 749
508 527 91
512 4 859
839 561 799
960 765 824
825 250 930
24 500 797
858 336 803
960 637 646
201 918 644
767 384 328
829 252 309
119 155 148
155 189 21
341 375 196
72 611 642
27 593 240
567 958 460
174 481 659
624 346 364
437 763 329
591 304 637
281 574 828
428 335 339
323 876 915
140 306 404
340 42 413
945 923 728
319 399 7
341 499 176
318 475 192
35 124 851
364 492 89
58 11 649
646 334 922
820 514 409
425 335 410
226 193 517
803 585 117
102 458 863
678 516 552
247 778 624
952 367 85
467 17 271
241 920 561
564 8 426
767 196 479
192 10 547
681 543 693
248 929 67
394 552 886
921 208 553
867 787 808
349 694 886
103 115 641
675 2 436
217 284 243
136 651 216
20 440 444
641 623 701
374 730 821
472 763 755
950 346 778
39 851 222
969 365 439
961 783 98
106 638 211
649 274 23
316 666 817
622 308 369
626 79 414
813 518 796
558 333 651
424 707 544
671 535 515
908 112 587
313 266 383
181 958 580
305 187 821
720 590 404
888 528 192
906 336 494
856 714 880
728 716 236
478 924 567
576 753 903
113 423 726
886 515 620
430 181 223
779 268 180
329 820 113
649 53 768
694 417 630
550 338 788
40 650 376
504 557 372
42 516 158
610 529 536
785 443 418
320 733 942
676 266 181
882 95 51
733 246 636
898 193 971
321 776 176
431 170 345
834 463 42
517 676 234
67 326 400
751 189 387
687 866 587
511 55 404
854 11 497
151 902 610
872 758 762
403 716 294
519 480 153
238 695 158
135 276 123
106 235 282
162 792 448
893 69 440
19 620 356
534 7 836
822 282 240
265 819 693
182 699 525
215 74 82
169 82 355
484 681 958
484 721 430
789 809 445
872 685 920
308 669 687
293 16 122
342 404 654
886 385 64
82 364 656
627 314 386
274 441 499
360 900 514
760 435 461
930 724 663
429 866 704
387 384 553
605 102 194
816 842 606
152 224 157
195 635 124
218 399 857
645 202 533
908 54 670
182 862 733
164 153 329
81 968 787
390 728 354
947 899 316
180 950 901
792 125 446
257 750 468
447 334 846
698 677 334
184 735 719
314 705 235
684 249 662
423 207 504
405 119 156
113 636 876
222 106 216
949 284 348
799 652 200
431 882 518
528 795 289
475 532 333
440 252 947
763 144 899
900 287 55
72 337 425
864 647 409
273 176 655
939 28 654
361 531 651
366 226 827
485 736 539
902 819 602
852 333 362
371 497 304
121 526 720
732 914 782
320 452 458
870 658 159
70 783 155
172 842 798
73 699 325
594 614 7
246 765 620
382 381 112
218 85 999
488 86 876
97 436 2
140 969 588
20 242 922
268 37 773
70 658 492
696 906 139
688 152 69
706 460 692
569 316 733
509 678 370
261 681 812
829 439 761
809 879 478
699 606 697
157 461 999
514 148 530
89 844 876
773 782 385
822 613 746
958 587 724
201 654 829
50 338 308
212 664 876
772 102 820
117 708 401
825 295 937
799 283 597
922 125 346
667 443 410
314 642 534
428 400 387
434 757 213
227 463 971
624 233 660
528 280 273
228 80 304
593 184 131
455 473 272
476 263 204
633 424 830
390 113 115
770 624 205
788 394 970
953 846 722
121 521 339
9 279 380
282 68 5
943 579 683
860 275 38
959 423 926
546 367 793
520 290 267
413 564 594
776 576 592
932 644 308
706 893 347
561 359 565
358 863 481
607 816 764
889 783 772
209 158 770
377 87 430
125 541 186
503 72 797
23 439 681
354 740 138
270 410 166
504 423 951
749 49 373
876 588 486
7 127 758
889 269 35
409 415 999
765 424 583
914 213 498
279 841 992
580 238 260
268 548 917
825 624 757
568 624 945
260 781 596
743 697 18
679 614 325
748 845 733
442 842 847
384 496 146
89 744 47
361 318 13
569 376 476
215 227 144
66 28 69
278 844 597
537 54 467
801 220 748
945 951 84
908 128 877
221 836 487
498 236 689
727 122 284
547 731 456
946 812 990
51 477 806
506 563 128
371 44 657
970 210 854
213 271 267
496 242 769
708 718 61
956 4 152
208 573 580
782 113 183
304 212 6
266 618 628
281 85 200
908 276 435
170 64 734
800 703 692
683 854 151
802 789 746
757 496 410
601 361 392
127 207 579
883 97 887
695 165 824
385 519 409
857 152 445
350 97 968
590 210 225
224 453 260
514 806 908
91 74 839
407 545 847
390 549 420
691 23 100
34 585 281
824 763 2
903 792 362
744 637 191
28 832 33
672 172 155
392 174 644
933 848 727
253 793 515
783 799 721
212 823 982
247 113 928
371 523 347
717 688 646
613 531 90
547 791 797
514 553 181
768 747 239
336 14 818
205 375 537
214 87 272
272 415 519
748 966 546
526 454 42
646 615 665
152 203 549
232 318 427
833 276 277
176 765 637
263 774 607
611 708 611
217 886 442
326 655 104
661 617 455
218 721 729
126 256 23
623 655 253
395 586 409
300 515 526
703 452 860
802 52 817
413 959 154
960 536 833
138 664 897
184 894 452
716 435 8
584 420 514
338 148 658
416 480 647
671 130 984
589 863 35
753 285 441
85 967 652
606 870 57
391 830 579
66 371 627
524 549 65
648 727 758
937 434 250
579 961 766
92 681 623
