832 862
665 18 -890
137 548 670
19 374 850
577 716 -908
403 328 -248
381 499 -843
380 63 -213
548 304 -382
170 447 -996
189 583 -852
142 740 -126
36 621 -510
279 663 456
188 677 512
812 674 70
74 724 153
